Date : 2024-07-13 17:34:50
Directory : /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0
Total : 100 files,  20661 codes, 1826 comments, 2885 blanks, all 25372 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/Trunk.toml                                                       | TOML       |          9 |         60 |         10 |         79 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/.env                                                    | Properties |          1 |          0 |          0 |          1 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/Cargo.toml                                              | TOML       |         13 |          4 |          2 |         19 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/06.27.2024.surql                                | SurrealQL  |        383 |         63 |         62 |        508 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Local/Backup.surql                              | SurrealQL  |        340 |         60 |         59 |        459 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Local/database.surql                            | SurrealQL  |        332 |         57 |         60 |        449 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Local/localhost-2024-06-17.surql                | SurrealQL  |        339 |         60 |         61 |        460 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Local/v2-data-2024-06-17.surql                  | SurrealQL  |        326 |         58 |         50 |        434 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Local/v2-schema-2024-06-17.surql                | SurrealQL  |         82 |         27 |         28 |        137 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Production/master-techapp-2024-07-04-TEST.surql | SurrealQL  |        375 |         62 |         65 |        502 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/Production/master-techapp-2024-07-04.surql      | SurrealQL  |        372 |         60 |         64 |        496 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/backups/db.surql                                        | SurrealQL  |        358 |         63 |         62 |        483 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/src/lib.rs                                              | Rust       |        130 |          7 |         29 |        166 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/database/src/schema/mod.rs                                       | Rust       |        524 |         71 |         69 |        664 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/docker-compose.yml                                               | YAML       |         97 |         37 |          5 |        139 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/.env                                                    | Properties |          1 |          0 |          0 |          1 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/Cargo.toml                                              | TOML       |         49 |         11 |          8 |         68 |
| /home/shadowbroker/Documents/Tech/Programming/MtechServer2.0/frontend/assets/manifest.json                                    | JSON       |         23 |          0 |          1 |         24 |
